Epoch, Step, Loss, Lr, Time
6, 901, 4.2574, 0.001000, 449.25
6, 1001, 4.0577, 0.001000, 496.98
6, 1101, 4.0741, 0.001000, 546.18
6, 1201, 4.0889, 0.001000, 593.63
6, 1301, 4.0812, 0.001000, 646.38
6, 1401, 4.0859, 0.001000, 696.52
6, 1501, 4.1305, 0.001000, 746.44
6, 1601, 4.1719, 0.001000, 796.17
6, 1701, 3.9748, 0.001000, 845.79
6, 1801, 4.0048, 0.001000, 896.65
6, 1901, 3.8541, 0.001000, 946.83
6, 2001, 3.9663, 0.001000, 996.46
6, 2101, 4.0715, 0.001000, 1048.36
6, 2201, 3.9724, 0.001000, 1095.81
6, 2301, 3.9308, 0.001000, 1148.21
6, 2401, 3.9178, 0.001000, 1195.28
6, 2501, 4.2016, 0.001000, 1244.03
7, 1, 3.7682, 0.001000, 5.63
7, 101, 3.9918, 0.001000, 55.67
7, 201, 3.9462, 0.001000, 102.88
7, 301, 3.8141, 0.001000, 153.77
7, 401, 3.8799, 0.001000, 201.39
7, 501, 3.8418, 0.001000, 251.75
7, 601, 3.8442, 0.001000, 300.02
7, 701, 3.6609, 0.001000, 352.23
7, 801, 3.9087, 0.001000, 399.75
7, 901, 4.0266, 0.001000, 450.87
7, 1001, 3.9164, 0.001000, 498.47
7, 1101, 3.8808, 0.001000, 548.71
7, 1201, 3.9197, 0.001000, 597.68
7, 1301, 3.8484, 0.001000, 646.99
7, 1401, 3.8358, 0.001000, 697.31
7, 1501, 3.6486, 0.001000, 748.89
7, 1601, 4.0370, 0.001000, 796.43
7, 1701, 3.8944, 0.001000, 845.44
7, 1801, 3.8538, 0.001000, 894.89
7, 1901, 3.7375, 0.001000, 946.86
7, 2001, 3.8120, 0.001000, 995.82
7, 2101, 3.9543, 0.001000, 1048.53
7, 2201, 3.7467, 0.001000, 1096.85
7, 2301, 3.8068, 0.001000, 1148.76
7, 2401, 3.6501, 0.001000, 1196.23
7, 2501, 3.9303, 0.001000, 1246.05
8, 1, 3.7054, 0.001000, 5.45
8, 101, 3.8245, 0.001000, 55.58
8, 201, 3.8154, 0.001000, 104.89
8, 301, 3.7326, 0.001000, 153.89
8, 401, 3.6177, 0.001000, 202.63
8, 501, 3.8122, 0.001000, 253.88
8, 601, 3.6257, 0.001000, 303.06
8, 701, 3.5958, 0.001000, 353.44
8, 801, 3.7199, 0.001000, 401.72
8, 901, 3.5467, 0.001000, 454.59
8, 1001, 3.6240, 0.001000, 502.78
8, 1101, 3.4995, 0.001000, 552.68
8, 1201, 3.5053, 0.001000, 601.86
8, 1301, 3.5153, 0.001000, 651.21
8, 1401, 3.7183, 0.001000, 699.02
8, 1501, 3.6314, 0.001000, 747.96
8, 1601, 3.7615, 0.001000, 797.99
8, 1701, 3.6398, 0.001000, 846.21
